[2020-06-16 10:04:30.489] 
[2020-06-16 10:04:30.504] Dbg> 
[2020-06-16 10:04:30.520] code 1003
[2020-06-16 10:04:30.536] 
[2020-06-16 10:04:30.520] EngVersion 1.10:04  Machine Metis-MF3z DOM
[2020-06-16 10:04:30.692] ConditionDataVersion 1.00
[2020-06-16 10:04:30.692] [ROM]: Mts-abyz [SCN]: Color [SCNSET]: Set [ENG_ENABLE]: Standard [FUKKI]: Standard [TIMER_UP_N0]: Procon [TIMER_UP_N1]: In_Time [TIMER_UP_N2]: Standard
[2020-06-16 10:04:30.692] 20年06月16日 10時09分16秒
[2020-06-16 10:04:30.692] 
[2020-06-16 10:04:30.692] SpDataDisplay!!
[2020-06-16 10:04:30.692] SpDataDisplay!!
[2020-06-16 10:04:30.692] spw 1 001 001 -13
[2020-06-16 10:04:30.692] spw 1 001 002 -12
[2020-06-16 10:04:30.692] spw 1 001 003 -12
[2020-06-16 10:04:30.692] spw 1 001 004 -9
[2020-06-16 10:04:30.692] spw 1 001 005 -12
[2020-06-16 10:04:30.692] spw 1 001 006 -10
[2020-06-16 10:04:30.692] spw 1 001 007 -11
[2020-06-16 10:04:30.692] spw 1 001 008 -14
[2020-06-16 10:04:30.692] spw 1 001 009 -16
[2020-06-16 10:04:30.692] spw 1 001 010 -16
[2020-06-16 10:04:30.692] spw 1 001 011 -12
[2020-06-16 10:04:30.692] spw 1 001 012 -22
[2020-06-16 10:04:30.692] spw 1 001 013 -17
[2020-06-16 10:04:30.692] spw 1 001 014 -15
[2020-06-16 10:04:30.692] spw 1 001 015 -14
[2020-06-16 10:04:30.692] spw 1 001 016 -15
[2020-06-16 10:04:30.692] spw 1 001 017 -12
[2020-06-16 10:04:30.692] spw 1 001 018 -11
[2020-06-16 10:04:30.692] spw 1 001 019 -7
[2020-06-16 10:04:30.692] spw 1 001 020 -7
[2020-06-16 10:04:30.692] spw 1 001 021 2
[2020-06-16 10:04:30.692] spw 1 001 022 -15
[2020-06-16 10:04:30.692] spw 1 001 023 -14
[2020-06-16 10:04:30.692] spw 1 001 024 -11
[2020-06-16 10:04:30.692] spw 1 001 025 -13
[2020-06-16 10:04:30.692] spw 1 001 026 -12
[2020-06-16 10:04:30.692] spw 1 001 027 -8
[2020-06-16 10:04:30.692] spw 1 001 028 -12
[2020-06-16 10:04:30.692] spw 1 001 029 -11
[2020-06-16 10:04:30.692] spw 1 001 030 -10
[2020-06-16 10:04:30.692] spw 1 001 031 -9
[2020-06-16 10:04:30.692] spw 1 001 032 -12
[2020-06-16 10:04:30.692] spw 1 001 033 -10
[2020-06-16 10:04:30.692] spw 1 001 034 -11
[2020-06-16 10:04:30.692] spw 1 001 035 -12
[2020-06-16 10:04:30.692] spw 1 001 036 -11
[2020-06-16 10:04:30.692] spw 1 001 037 -8
[2020-06-16 10:04:30.692] spw 1 001 038 -12
[2020-06-16 10:04:30.707] spw 1 001 039 -22
[2020-06-16 10:04:30.707] spw 1 001 040 -17
[2020-06-16 10:04:30.707] spw 1 001 041 -15
[2020-06-16 10:04:30.739] spw 1 001 042 -20
[2020-06-16 10:04:30.739] spw 1 001 043 -18
[2020-06-16 10:04:30.739] spw 1 001 044 -17
[2020-06-16 10:04:30.739] spw 1 001 045 -11
[2020-06-16 10:04:30.739] spw 1 001 046 -7
[2020-06-16 10:04:30.739] spw 1 001 047 -7
[2020-06-16 10:04:30.754] spw 1 001 048 2
[2020-06-16 10:04:30.754] spw 1 001 049 -17
[2020-06-16 10:04:30.770] spw 1 001 050 -13
[2020-06-16 10:04:30.770] spw 1 001 051 -12
[2020-06-16 10:04:30.770] spw 1 001 052 -13
[2020-06-16 10:04:30.801] spw 1 001 053 -12
[2020-06-16 10:04:30.801] spw 1 001 054 -8
[2020-06-16 10:04:30.801] spw 1 002 001 -7
[2020-06-16 10:04:30.801] spw 1 002 002 -1
[2020-06-16 10:04:30.801] spw 1 002 003 -3
[2020-06-16 10:04:30.801] spw 1 002 004 0
[2020-06-16 10:04:30.817] spw 1 002 005 0
[2020-06-16 10:04:30.817] spw 1 002 006 -2
[2020-06-16 10:04:30.817] spw 1 002 007 0
